time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
9.63,15,16.303,90,80.864
9.65,15,16.299,90,81.005
9.67,15,16.239,90,81.393
9.69,15,16.207,90,81.775
9.71,15,16.184,90,81.845
9.74,15,16.267,90,81.896
9.76,15,16.423,90,81.782
9.78,15,16.414,90,81.406
9.8,15,16.419,90,81.019
9.82,15,16.615,90,80.894
9.84,15,16.753,90,80.817
9.86,15,16.742,90,80.241
9.88,15,16.724,90,79.818
9.9,15,16.838,90,79.731
9.92,15,16.977,90,79.553
9.94,15,16.993,90,79.267
9.96,15,16.955,90,79.351
9.98,15,16.991,90,79.453
10,15,17.12,90,79.461
10.02,15,17.234,90,79.399
10.04,15,17.219,90,79.266
10.06,15,17.217,90,79.118
10.08,15,17.285,90,79.198
10.1,15,17.298,90,79.3
10.12,15,17.325,90,79.418
10.14,15,17.388,90,79.362
10.16,15,17.406,90,79.354
10.18,15,17.396,90,79.28
10.2,15,17.356,90,79.219
10.22,15,17.225,90,79.055
10.24,15,16.994,90,79.509
10.27,15,16.743,90,80.249
10.29,15,16.65,90,80.666
10.31,15,16.507,90,80.864
10.33,15,16.329,90,81.035
10.35,15,16.235,90,81.301
10.37,15,16.157,90,81.44
10.39,15,16.067,90,81.391
10.41,15,15.995,90,81.309
10.43,15,15.964,90,81.197
10.45,15,15.899,90,81.365
10.47,15,15.834,90,81.533
10.49,15,15.81,90,81.558
10.51,15,15.785,90,81.686
10.53,15,15.773,90,81.871
10.55,15,15.745,90,81.715
10.57,15,15.727,90,81.391
10.59,15,15.674,90,81.257
10.61,15,15.677,90,81.403
10.63,15,15.695,90,81.654
10.65,15,15.458,90,82.014
10.67,15,15.259,90,82.291
10.69,15,15.21,90,82.584
10.71,15,15.112,90,82.764
10.73,15,15.015,90,82.719
10.75,15,14.826,90,82.441
10.77,15,14.958,90,82.359
10.79,15,15.142,90,82.257
10.81,15,15.234,90,81.968
10.83,15,15.307,90,81.845
10.85,15,15.399,90,82.001
10.87,15,15.422,90,82.168
10.89,15,15.461,90,81.919
10.92,15,15.479,90,82.012
10.94,15,15.504,90,82.069
10.96,15,15.549,90,81.787
10.98,15,15.583,90,81.38
11,15,15.484,90,81.435
11.02,15,15.326,90,81.969
11.04,15,15.249,90,82.721
11.06,15,15.096,90,83.573
11.08,15,14.947,90,84.28
11.1,15,14.92,90,84.597
11.12,15,14.907,90,84.76
11.14,15,14.914,90,85.076
11.16,15,14.859,90,85.056
11.18,15,14.891,90,84.546
11.2,15,14.936,90,84.41
11.22,15,14.899,90,84.473
11.24,15,14.841,90,84.16
11.26,15,14.851,90,83.892
11.28,15,14.846,90,84.082
11.3,15,14.869,90,84.036
11.32,15,14.958,90,83.834
11.34,15,15.069,90,83.918
11.36,15,15.107,90,84.093
11.38,15,15.125,90,83.992
11.4,15,15.144,90,83.864
11.42,15,15.14,90,83.948
11.44,15,15.173,90,84.182
11.46,15,15.166,90,84.189
11.48,15,15.104,90,84.229
11.5,15,15.115,90,84.597
11.52,15,15.194,90,84.881
11.54,15,15.07,90,85.585
11.57,15,14.881,90,86.089
11.59,15,14.652,90,86.505
11.61,15,14.521,90,86.671
11.63,15,14.433,90,86.705
11.65,15,14.363,90,86.817
11.67,15,14.358,90,86.475
11.69,15,14.47,90,85.821
11.71,15,14.731,90,84.806
11.73,15,14.916,90,84.435
11.75,15,15.126,90,84.256
11.77,15,15.234,90,83.832
11.79,15,15.188,90,83.502
11.81,15,15.096,90,83.506
11.83,15,15.132,90,83.595
11.85,15,15.112,90,83.841
11.87,15,14.94,90,83.921
11.89,15,14.902,90,83.802
11.91,15,14.994,90,83.98
11.93,15,15.056,90,84.835
11.95,15,15.041,90,85.102
11.97,15,15.041,90,84.819
11.99,15,15.129,90,84.609
12.01,15,15.158,90,84.516
12.03,15,15.022,90,84.35
12.05,15,15.048,90,83.772
12.07,15,15.14,90,83.241
12.09,15,15.182,90,82.834
12.11,15,15.242,90,82.71
12.13,15,15.364,90,82.817
12.15,15,15.435,90,82.942
12.17,15,15.498,90,82.953
12.2,15,15.566,90,82.957
12.22,15,15.609,90,82.914
12.24,15,15.569,90,82.68
12.26,15,15.52,90,82.403
12.28,15,15.531,90,82.231
12.3,15,15.545,90,83.055
12.32,15,15.369,90,83.737
12.34,15,15.129,90,84.185
12.36,15,14.918,90,85.077
12.38,15,14.854,90,85.902
12.4,15,14.862,90,86.185
12.42,15,14.791,90,86.2
12.44,15,14.892,90,86.062
12.46,15,15.105,90,85.451
12.48,15,15.287,90,84.829
12.5,15,15.461,90,84.579
12.52,15,15.573,90,84.397
12.54,15,15.66,90,84.131
12.56,15,15.683,90,83.985
12.58,15,15.57,90,84.105
12.6,15,15.429,90,84.358
12.62,15,15.357,90,84.527
12.64,15,15.32,90,84.639
12.66,15,15.281,90,84.781
12.68,15,15.205,90,84.866
12.7,15,15.112,90,84.847
12.72,15,15.018,90,84.918
12.74,15,14.935,90,84.961
12.76,15,14.973,90,85.202
12.78,15,15.006,90,85.559
12.8,15,14.969,90,85.826
12.83,15,14.866,90,86.012
12.85,15,14.859,90,86.288
12.87,15,14.863,90,86.76
12.89,15,14.847,90,87.03
12.91,15,14.875,90,87.148
12.93,15,14.903,90,87.495
12.95,15,14.952,90,87.569
12.97,15,15.016,90,87.322
12.99,15,15.075,90,86.654
13.01,15,15.199,90,86.031
13.03,15,15.23,90,85.531
13.05,15,15.212,90,85.1
13.07,15,15.227,90,84.711
13.09,15,15.205,90,84.464
13.11,15,15.174,90,84.209
13.13,15,15.148,90,84.002
13.15,15,15.117,90,83.919
13.17,15,15.095,90,83.717
13.19,15,15.075,90,83.502
13.21,15,14.962,90,84.095
13.23,15,14.86,90,85.036
13.25,15,14.758,90,85.739
13.27,15,14.647,90,86.267
13.29,15,14.536,90,86.998
13.31,15,14.565,90,87.853
13.33,15,14.705,90,88.412
13.35,15,14.844,90,88.078
13.37,15,14.983,90,87.332
13.39,15,15.167,90,86.398
13.41,15,15.313,90,85.977
13.43,15,15.359,90,86.005
13.46,15,15.288,90,85.683
13.48,15,15.175,90,85.729
13.5,15,15.046,90,86.385
13.52,15,14.86,90,86.686
13.54,15,14.645,90,86.862
13.56,15,14.54,90,87.09
13.58,15,14.547,90,87.399
13.6,15,14.488,90,87.586
13.62,15,14.428,90,87.952
13.64,15,14.42,90,88.087
13.66,15,14.473,90,88.184
13.68,15,14.53,90,88.055
13.7,15,14.496,90,87.852
13.72,15,14.537,90,87.321
13.74,15,14.634,90,86.929
13.76,15,14.682,90,86.117
13.78,15,14.785,90,85.281
13.8,15,14.909,90,84.902
13.82,15,14.964,90,84.864
13.84,15,14.973,90,84.469
13.86,15,14.943,90,84.185
13.88,15,14.843,90,84.143
13.9,15,14.798,90,84.227
13.92,15,14.809,90,84.407
13.94,15,14.811,90,84.567
13.96,15,14.781,90,84.879
13.98,15,14.874,90,85.284
14,15,14.879,90,85.465
14.02,15,14.861,90,85.254
14.04,15,14.875,90,84.91
14.06,15,14.856,90,84.867
14.08,15,14.838,90,85.188
14.11,15,14.8,90,85.358
14.13,15,14.762,90,85.428
14.15,15,14.749,90,85.767
14.17,15,14.761,90,86.058
14.19,15,14.711,90,86.09
14.21,15,14.642,90,85.956
14.23,15,14.627,90,86
14.25,15,14.72,90,86.278
14.27,15,14.795,90,86.346
14.29,15,14.855,90,86.249
14.31,15,14.835,90,86.325
14.33,15,14.875,90,86.353
14.35,15,15.01,90,86.142
14.37,15,15.024,90,86.267
14.39,15,14.839,90,87.237
14.41,15,14.796,90,88.029
14.43,15,14.698,90,88.269
14.45,15,14.569,90,88.395
14.47,15,14.5,90,88.454
14.49,15,14.557,90,88.365
14.51,15,14.685,90,88.081
14.53,15,14.744,90,87.899
14.55,15,14.739,90,88.161
14.57,15,14.762,90,88.321
14.59,15,14.758,90,87.291
14.61,15,14.735,90,86.931
14.63,15,14.721,90,87.429
14.65,15,14.702,90,87.395
14.67,15,14.708,90,86.96
14.7,15,14.629,90,87.143
14.72,15,14.583,90,87.579
14.74,15,14.747,90,87.111
14.76,15,14.899,90,86.374
14.78,15,14.954,90,85.718
14.8,15,15.057,90,85.009
14.82,15,15.258,90,84.486
14.84,15,15.404,90,84.561
14.86,15,15.464,90,84.668
14.88,15,15.521,90,84.292
14.9,15,15.574,90,84.367
14.92,15,15.518,90,84.83
14.94,15,15.481,90,84.899
14.96,15,15.518,90,84.727
14.98,15,15.623,90,84.657
15,15,15.557,90,84.96
15.02,15,15.359,90,85.538
15.04,15,15.277,90,86.332
15.06,15,15.21,90,87.141
15.08,15,15.091,90,87.503
15.1,15,14.873,90,87.451
15.12,15,14.661,90,87.356
15.14,15,14.684,90,87.389
15.16,15,14.654,90,87.517
15.18,15,14.618,90,87.804
15.2,15,14.724,90,88.219
15.22,15,14.844,90,88.4
15.25,15,14.832,90,88.124
15.27,15,14.626,90,88.024
15.29,15,14.527,90,88.412
15.31,15,14.531,90,89.098
15.33,15,14.509,90,89.607
15.35,15,14.509,90,90.017
15.37,15,14.579,90,90.283
15.39,15,14.627,90,90.013
15.41,15,14.56,90,89.516
15.43,15,14.54,90,89.403
15.45,15,14.605,90,89.417
15.47,15,14.667,90,89.397
15.49,15,14.708,90,89.351
15.51,15,14.693,90,89.32
15.53,15,14.881,90,89.034
15.55,15,15.029,90,88.659
15.57,15,15.153,90,88.12
15.59,15,15.269,90,87.56
15.61,15,15.266,90,86.927
15.63,15,15.242,90,86.436
15.65,15,15.274,90,86.461
15.67,15,15.25,90,87.199
15.69,15,15.162,90,87.713
15.71,15,15.005,90,87.937
15.73,15,14.888,90,87.864
15.75,15,14.846,90,87.888
15.77,15,14.813,90,87.973
