time,continuous_time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
4.35,4.35,10,12.28,90,78.1
4.37,4.37,10,12.3,90,78.22
4.39,4.39,10,12.35,90,78.38
4.41,4.41,10,12.37,90,78.4
4.44,4.44,10,12.37,90,78.5
4.46,4.46,10,12.37,90,78.55
4.48,4.48,10,12.36,90,78.49
4.5,4.5,10,12.39,90,78.3
4.52,4.52,10,12.4,90,78.1
4.54,4.54,10,12.46,90,78.36
4.56,4.56,10,12.51,90,78.6
4.58,4.58,10,12.47,90,78.83
4.6,4.6,10,12.41,90,79.06
4.62,4.62,10,12.31,90,79.45
4.64,4.64,10,12.2,90,79.8
4.66,4.66,10,12.13,90,79.84
4.68,4.68,10,12.13,90,80.06
4.7,4.7,10,12.23,90,81.12
4.72,4.72,10,12.27,90,81.46
4.74,4.74,10,12.24,90,81.09
4.76,4.76,10,12.18,90,80.83
4.78,4.78,10,12.22,90,81.45
4.8,4.8,10,12.2,90,81.56
4.83,4.83,10,12.16,90,81.57
4.85,4.85,10,12.18,90,81.67
4.87,4.87,10,12.25,90,81.81
4.89,4.89,10,12.3,90,81.82
4.91,4.91,10,12.31,90,81.84
4.93,4.93,10,12.32,90,81.87
4.95,4.95,10,12.28,90,81.67
4.97,4.97,10,12.24,90,81.65
4.99,4.99,10,12.29,90,82.33
5.01,5.01,10,12.38,90,83.02
5.03,5.03,10,12.38,90,82.92
5.05,5.05,10,12.3,90,82.78
5.07,5.07,10,12.27,90,82.96
5.09,5.09,10,12.26,90,82.93
5.11,5.11,10,12.22,90,83.02
5.13,5.13,10,12.19,90,83.34
5.15,5.15,10,12.21,90,83.48
5.17,5.17,10,12.22,90,83.22
5.2,5.2,10,12.18,90,83.35
5.22,5.22,10,12.17,90,83.71
5.24,5.24,10,12.17,90,83.81
5.26,5.26,10,12.11,90,83.68
5.28,5.28,10,12.11,90,84.19
5.3,5.3,10,12.11,90,84.57
5.32,5.32,10,12.07,90,84.58
5.34,5.34,10,11.98,90,84.3
5.36,5.36,10,11.97,90,84.43
5.38,5.38,10,11.99,90,84.52
5.4,5.4,10,11.91,90,84.56
5.42,5.42,10,11.83,90,84.81
5.44,5.44,10,11.85,90,84.98
5.46,5.46,10,11.87,90,84.97
5.48,5.48,10,11.85,90,84.89
5.5,5.5,10,11.85,90,84.96
5.52,5.52,10,11.87,90,85.14
5.54,5.54,10,11.87,90,85.09
5.56,5.56,10,11.85,90,85.03
5.59,5.59,10,11.9,90,85.45
5.61,5.61,10,11.92,90,85.59
5.63,5.63,10,11.86,90,85.43
5.65,5.65,10,11.79,90,85.66
5.67,5.67,10,11.78,90,86.01
5.69,5.69,10,11.79,90,86.08
5.71,5.71,10,11.74,90,85.82
5.73,5.73,10,11.73,90,85.97
5.75,5.75,10,11.81,90,86.05
5.77,5.77,10,11.84,90,85.81
5.79,5.79,10,11.8,90,85.85
5.81,5.81,10,11.78,90,85.98
5.83,5.83,10,11.85,90,86.03
5.85,5.85,10,11.89,90,86.09
5.87,5.87,10,11.83,90,85.99
5.89,5.89,10,11.8,90,86.43
5.91,5.91,10,11.79,90,86.65
5.93,5.93,10,11.68,90,86.77
5.95,5.95,10,11.58,90,87.15
5.98,5.98,10,11.63,90,87.36
6,6,10,11.66,90,87.42
6.02,6.02,10,11.63,90,87.77
6.04,6.04,10,11.59,90,88.35
6.06,6.06,10,11.64,90,88.09
6.08,6.08,10,11.62,90,88.25
6.1,6.1,10,11.56,90,88.53
6.12,6.12,10,11.54,90,88.4
6.14,6.14,10,11.51,90,88.1
6.16,6.16,10,11.48,90,88.24
6.18,6.18,10,11.51,90,88.6
6.2,6.2,10,11.54,90,88.77
6.22,6.22,10,11.52,90,88.82
6.24,6.24,10,11.53,90,88.96
6.26,6.26,10,11.58,90,88.76
6.28,6.28,10,11.61,90,88.45
6.3,6.3,10,11.61,90,88.32
